"clust_id","vacancy_id"
"405",20,5780696
"406",29,8860166
"407",25,3610426
"408",29,478916
"409",16,4152326
"410",24,4818906
"411",24,1940765
"412",13,3549376
"413",18,9578826
"414",10,9684865
"415",11,8582016
"416",29,8479146
"417",21,3644336
"418",14,8591686
"419",10,3694865
"420",22,4865246
"421",20,867665
"422",22,5815706
"423",22,7918476
"424",28,3043236
"425",3,1106486
"426",1,9454996
"427",25,3415875
"428",11,8947436
"429",25,118036
"430",2,7347796
"431",22,9114936
"432",29,4589095
"433",16,7002386
"434",14,6624666
"435",18,7928416
"436",12,2128695
"437",25,5902575
"438",23,5719675
"439",1,5331975
"440",12,2531116
"441",20,7422586
"442",15,2433307
"443",13,5409766
"444",23,9138546
"445",25,2783307
"446",29,6594985
"447",16,3042176
"448",24,7778346
"449",21,6612716
"450",2,7695975
"451",16,5002386
"452",13,970776
"453",15,7602586
"454",13,7936076
"455",4,1521086
"456",4,2154596
"457",13,3628276
"458",21,4249166
"459",26,2615175
"460",4,9617595
"461",24,1176956
"462",26,6563107
"463",22,9721666
"464",23,6375556
"465",1,4091436
"466",4,1540386
"467",13,8895866
"468",1,4326495
"469",7,2793866
"470",25,7264516
"471",27,5691656
"472",11,2217195
"473",3,623585
"474",7,1813307
"475",4,5982066
"476",3,4793375
"477",3,2468786
"478",3,8145236
"479",22,7060676
"480",1,3259806
"481",7,4220495
"482",9,1478986
"483",18,510416
"484",12,2258356
"485",24,2308246
"486",25,8386765
"487",24,1090107
"488",29,7334407
"489",21,8884285
"490",29,5525096
"491",1,925436
"492",7,7449495
"493",11,8124856
"494",27,8170975
"495",21,6928566
"496",8,7921865
"497",4,8355056
"498",23,5594146
"499",1,8862306
"500",16,7226275
"501",21,8436566
"502",1,7094256
"503",13,3897676
"504",29,2406296
"505",21,5725506
"506",16,893346
"507",13,9958076
"508",23,3500236
"509",14,4755786
"510",21,6886595
"511",21,3548486
"512",23,3560406
"513",1,7285016
"514",22,9798156
"515",4,6742207
"516",29,8418156
"517",28,9544236
"518",14,6685676
"519",1,2723566
"520",1,6788736
"521",30,5140326
"522",21,5511116
"523",25,4056865
"524",20,3429786
"525",4,1399485
"526",1,3476556
"527",2,3633385
"528",13,9229466
"529",4,9735956
"530",16,7189007
"531",1,5178146
"532",2,267506
"533",21,3350446
"534",12,4956136
"535",29,2067266
"536",11,8575936
"537",16,6371776
"538",7,5493985
"539",25,1557046
"540",24,986736
"541",3,7822196
"542",23,9886916
"543",3,1029575
"544",12,918485
"545",10,6894865
"546",25,8695485
"547",24,3852116
"548",29,131006
"549",28,5102326
"550",3,1696085
"551",13,1693676
"552",20,7210785
"553",1,8411395
"554",20,4917316
"555",17,4135985
"556",12,8526406
"557",23,3397506
"558",26,9218976
"559",21,3210046
"560",29,7677426
"561",30,6000326
"562",16,8926326
"563",21,6667166
"564",24,2157885
"565",29,10566
"566",16,936485
"567",10,6294716
"568",30,2427886
"569",11,4409156
"570",2,3190116
"571",4,7232296
"572",3,8154886
"573",25,3477126
"574",15,6733976
"575",9,3874976
"576",24,8779936
"577",29,1905246
"578",1,1252746
"579",11,3015586
"580",25,3227096
"581",29,8141496
"582",4,464486
"583",25,774506
"584",10,384865
"585",7,87526
"586",28,1073726
"587",23,3480285
"588",3,6117086
"589",16,5992716
"590",1,9005266
"591",22,9443085
"592",13,7650575
"593",30,8747886
"594",4,2263075
"595",13,9128766
"596",10,1344865
"597",3,3427776
"598",29,4873207
"599",27,8599107
"600",24,8256196
"601",2,5026396
"602",23,5293536
"603",6,46016
"604",30,3777886
"605",9,296086
"606",2,53466
"607",20,3458196
"608",3,8610366
"609",1,9800695
"610",25,5352966
"611",23,1476526
"612",10,6483765
"613",9,1411196
"614",3,8928086
"615",19,7550156
"616",24,856946
"617",2,4006706
"618",20,8252286
"619",1,2527936
"620",28,1743236
"621",1,8215956
"622",20,3535426
"623",22,5269756
"624",3,7401366
"625",21,6628395
"626",4,742036
"627",13,5254476
"628",28,1901326
"629",20,429946
"630",25,9151846
"631",13,3535676
"632",10,8394716
"633",21,5992886
"634",20,9618236
"635",29,6089865
"636",14,8865686
"637",7,3346056
"638",6,8495056
"639",22,8655685
"640",24,5763216
"641",1,8250756
"642",16,6596186
"643",20,9228916
"644",11,6377866
"645",18,3039316
"646",11,3729166
"647",4,9754985
"648",26,2866506
"649",20,890516
"650",2,1242095
"651",25,252586
"652",9,5575986
"653",3,4432775
"654",13,9710385
"655",13,6427456
"656",20,3330307
"657",3,6737675
"658",1,5539136
"659",13,4277616
"660",1,1753006
"661",24,1832875
"662",1,9587085
"663",29,2271007
"664",3,1273876
"665",11,3649446
"666",22,8731646
"667",6,7867565
"668",16,2073616
"669",11,769606
"670",4,3357375
"671",25,5505246
"672",21,438556
"673",7,2994585
"674",16,7486595
"675",22,5428876
"676",29,4531766
"677",29,2167616
"678",16,897307
"679",25,5933436
"680",24,8201966
"681",25,1301866
"682",22,448695
"683",20,757986
"684",25,9672306
"685",24,7009495
"686",28,3189875
"687",21,8063846
"688",28,8344016
"689",13,7711776
"690",10,4215865
"691",11,1848866
"692",1,1371346
"693",11,7385675
"694",1,8922136
"695",16,3319576
"696",4,4264665
"697",2,8943456
"698",1,326286
"699",7,1866506
"700",16,1779175
"701",13,6117176
"702",16,3698495
"703",21,2977695
"704",1,8048695
"705",26,4473107
"706",21,2376926
"707",25,5020686
"708",13,5500085
"709",2,688796
"710",11,802286
"711",22,2739846
"712",1,7692046
"713",7,5148207
"714",21,1782595
"715",3,1194826
"716",13,5289975
"717",21,5938307
"718",29,379526
"719",17,1718685
"720",28,2728295
"721",14,8763575
"722",14,7906096
"723",2,6369306
"724",24,9719285
"725",28,433326
"726",29,7971156
"727",1,7305407
"728",21,7436506
"729",8,7000385
"730",3,6190146
"731",22,968776
"732",13,1890776
"733",29,2728846
"734",23,2736356
"735",22,7692685
"736",29,2941606
"737",25,2333865
"738",16,2055496
"739",20,1110166
"740",23,6268926
"741",9,4209986
"742",24,1140985
"743",11,3732495
"744",1,4862086
"745",14,4769385
"746",21,3164246
"747",9,7110386
"748",14,9156866
"749",7,8353666
"750",11,4089756
"751",4,5483966
"752",29,9189436
"753",29,683016
"754",8,9946316
"755",15,6693695
"756",2,8917706
"757",4,5173475
"758",11,8150576
"759",22,2078586
"760",16,7160916
"761",10,4280095
"762",4,1808956
"763",1,5474866
"764",29,1435775
"765",23,81095
"766",23,8806186
"767",14,462156
"768",2,8620575
"769",11,1619906
"770",7,3703007
"771",22,6204495
"772",28,5586326
"773",11,9863816
"774",4,789776
"775",7,5359565
"776",7,6177366
"777",3,1823266
"778",25,3069396
"779",13,9300866
"780",7,2504485
"781",22,4028586
"782",13,9549126
"783",21,2773366
"784",13,48075
"785",1,532336
"786",19,1546236
"787",7,6595585
"788",28,3554236
"789",24,9928295
"790",3,7042007
"791",4,4531996
"792",24,6386016
"793",19,5743346
"794",10,2364865
"795",1,9142766
"796",4,8791696
"797",29,8444796
"798",2,7636146
"799",25,1580765
"800",24,1813996
"801",29,9558696
"802",12,2508276
"803",17,5813285
"804",20,9102675
"805",28,6966336
"806",25,116506
"807",29,4502956
"808",25,1069785
"809",16,4066785
"810",4,4566546
"811",13,1576176
"812",11,4319966
"813",1,6100286
"814",21,9234326
"815",22,6780895
"816",23,6054175
"817",13,3241406
"818",8,1854286
"819",26,7359495
"820",24,9614175
"821",7,8874307
"822",25,3336
"823",29,12785
"824",23,9960966
"825",29,691576
"826",24,4449075
"827",4,4321007
"828",24,5266785
"829",25,7876586
"830",4,935886
"831",27,7066116
"832",23,9034395
"833",13,3923066
"834",13,2839376
"835",13,2299376
"836",23,457285
"837",22,5874285
"838",8,2775
"839",13,6707176
"840",3,3120596
"841",4,5681256
"842",25,6167846
"843",18,8462626
"844",7,228406
"845",25,8043606
"846",13,7673076
"847",23,8032796
"848",25,7434336
"849",18,9388116
"850",2,1513695
"851",25,641965
"852",25,3584965
"853",4,3525336
"854",29,9218746
"855",9,9607086
"856",13,1152956
"857",29,4383016
"858",13,2936076
"859",26,2247195
"860",11,3736946
"861",25,8163066
"862",29,5307566
"863",11,7552886
"864",9,8012196
"865",29,4480276
"866",7,628075
"867",25,173765
"868",13,9324756
"869",29,6269286
"870",26,6694626
"871",13,4137076
"872",14,7010116
"873",24,2938206
"874",18,4181585
"875",21,225266
"876",15,3983486
"877",7,4657916
"878",25,3215716
"879",3,2802356
"880",18,4294076
"881",23,9710965
"882",29,5761585
"883",25,4790626
"884",4,1828836
"885",21,2713536
"886",3,5174775
"887",16,7808366
"888",23,1002575
"889",6,5812795
"890",21,1713995
"891",24,3494246
"892",9,9869286
"893",9,6976086
"894",24,1828986
"895",11,7985756
"896",20,8583195
"897",7,9269066
"898",22,7698686
"899",29,6001226
"900",12,9904616
"901",29,2294226
"902",4,5528706
"903",25,3282575
"904",30,8378886
"905",29,8369516
"906",1,1497995
"907",6,3588236
"908",17,8058685
"909",28,8229326
"910",24,3973936
"911",7,8640107
"912",24,816485
"913",25,5480626
"914",24,5292486
"915",26,8550816
"916",2,4403476
"917",24,2453626
"918",3,6795356
"919",2,3803136
"920",18,7279536
"921",25,4169596
"922",20,7908346
"923",20,2294675
"924",29,1067386
"925",23,2095696
"926",15,3642496
"927",1,4976946
"928",1,8889095
"929",7,475496
"930",14,1775116
"931",9,4884186
"932",3,6372456
"933",1,2051876
"934",15,7115956
"935",21,8708006
"936",7,3155696
"937",9,6812196
"938",15,5144546
"939",29,6799516
"940",21,941586
"941",25,219866
"942",4,1460806
"943",22,8652795
"944",23,3800175
"945",29,4610756
"946",21,6670276
"947",18,351396
"948",11,423116
"949",11,214446
"950",1,2791406
"951",29,3169107
"952",14,1352686
"953",4,331956
"954",29,2857207
"955",7,9148207
"956",15,5371236
"957",18,3883175
"958",29,8183966
"959",28,4168726
"960",14,3027046
"961",15,2822236
"962",1,5931396
"963",26,1399676
"964",22,1696336
"965",24,2353795
"966",11,8137586
"967",26,1677275
"968",25,4960596
"969",25,5180146
"970",7,2039406
"971",20,3996506
"972",1,3561865
"973",13,4980776
"974",21,8960286
"975",2,8508446
"976",22,2958846
"977",7,937756
"978",24,2826876
"979",12,8415826
"980",7,5965486
"981",17,8008685
"982",9,7817386
"983",25,3965346
"984",29,3454676
"985",14,8606096
"986",1,1319436
"987",3,4609496
"988",21,1213765
"989",1,49785
"990",23,2779595
"991",12,8915426
"992",12,8500316
"993",2,938136
"994",21,8309856
"995",14,7535686
"996",9,5627086
"997",4,6928376
"998",2,3193385
"999",3,6526776
"1000",13,7997766
"1001",3,2897886
"1002",2,810307
"1003",29,4178326
"1004",16,9143175
"1005",3,311366
"1006",25,8510785
"1007",18,3865195
"1008",24,7412046
"1009",28,883975
"1010",16,7166966
"1011",11,8229736
"1012",9,4463976
"1013",20,7592085
"1014",18,7949585
"1015",3,7574996
"1016",22,2344406
"1017",4,8595176
"1018",9,1563976
"1019",15,5570086
"1020",2,3093686
"1021",22,9912006
"1022",1,5380586
"1023",13,2956076
"1024",3,8214196
"1025",21,3229875
"1026",21,2397007
"1027",21,3717816
"1028",7,9728736
"1029",20,3127986
"1030",11,1464726
"1031",20,956096
"1032",28,5256826
"1033",20,2552875
"1034",25,7943866
"1035",22,6099836
"1036",25,2527696
"1037",25,450895
"1038",16,9012496
"1039",21,7401595
"1040",7,5963207
"1041",21,1070006
"1042",23,1795186
"1043",20,6373007
"1044",9,4588986
"1045",1,4373416
"1046",21,8812075
"1047",20,7244326
"1048",29,7102885
"1049",16,8198366
"1050",1,5310385
"1051",4,916626
"1052",25,3625266
"1053",30,7159226
"1054",28,9239726
"1055",18,3585926
"1056",2,8259865
"1057",4,7952275
"1058",24,7935966
"1059",23,4037107
"1060",16,7459666
"1061",7,3086375
"1062",11,5979246
"1063",25,2401975
"1064",1,7490906
"1065",23,7666216
"1066",1,4850785
"1067",22,2858846
"1068",7,7733916
"1069",2,8944195
"1070",13,6121776
"1071",11,7147966
"1072",7,7712386
"1073",4,2904776
"1074",21,914176
"1075",24,3415826
"1076",11,5610006
"1077",4,4527246
"1078",11,3821816
"1079",4,8984986
"1080",14,794686
"1081",7,3643275
"1082",25,1972995
"1083",3,4970675
"1084",7,5619866
"1085",1,7110026
"1086",13,7759746
"1087",29,3749975
"1088",28,564236
"1089",13,3559766
"1090",29,7324436
"1091",29,6060975
"1092",13,2788076
"1093",26,2613107
"1094",14,3275575
"1095",3,7891876
"1096",22,7582666
"1097",13,4834476
"1098",25,5631476
"1099",25,6929965
"1100",25,8358506
"1101",13,5560776
"1102",22,2979476
"1103",29,3273816
"1104",15,9335726
"1105",13,4825626
"1106",7,6604946
"1107",21,9067046
"1108",21,218696
"1109",14,2493156
"1110",22,2841666
"1111",17,2298685
"1112",25,1242665
"1113",25,2555156
"1114",21,5319536
"1115",25,435176
"1116",14,7226116
"1117",3,6431296
"1118",1,9152036
"1119",3,3909926
"1120",24,8709886
"1121",1,6777876
"1122",1,7968006
"1123",29,2439326
"1124",3,3908556
"1125",2,1018885
"1126",14,5475046
"1127",4,8103996
"1128",12,6016206
"1129",28,8511326
"1130",13,2624676
"1131",1,8057906
"1132",21,4169016
"1133",28,8906726
"1134",15,1681236
"1135",21,9439486
"1136",13,4328546
"1137",12,4602676
"1138",29,499675
"1139",4,7017426
"1140",2,5502285
"1141",9,6227086
"1142",23,5545846
"1143",12,3396375
"1144",18,1959316
"1145",20,1322936
"1146",11,2746665
"1147",19,7591995
"1148",29,8230066
"1149",4,1716596
"1150",4,8033956
"1151",23,4743116
"1152",18,9951326
"1153",6,6031956
"1154",7,4405556
"1155",23,6742756
"1156",12,659696
"1157",16,6622926
"1158",2,9818146
"1159",21,5232975
"1160",21,7273796
"1161",3,6738266
"1162",29,5899466
"1163",5,8795456
"1164",19,2474626
"1165",13,3476066
"1166",25,9466875
"1167",7,1895296
"1168",4,5415366
"1169",29,6182356
"1170",1,8845296
"1171",25,9613456
"1172",25,7606126
"1173",18,1109116
"1174",26,9360385
"1175",13,6484866
"1176",25,1279765
"1177",21,4974395
"1178",4,851985
"1179",23,2445906
"1180",16,261195
"1181",18,8949416
"1182",7,8592386
"1183",20,7214616
"1184",16,7662736
"1185",29,222556
"1186",25,5804866
"1187",24,4825686
"1188",29,1039366
"1189",24,4730396
"1190",25,2316285
"1191",7,4695007
"1192",7,2094007
"1193",23,2287196
"1194",16,8967485
"1195",11,7063366
"1196",16,2714126
"1197",4,3357426
"1198",15,4786546
"1199",25,4399956
"1200",29,3215375
"1201",7,3426876
"1202",13,8824476
"1203",12,128816
"1204",1,9337296
"1205",4,9461066
"1206",14,8051006
"1207",21,2219307
"1208",13,6051236
"1209",4,4229195
"1210",25,9857007
"1211",13,6034476
"1212",16,9890846
"1213",7,4077785
"1214",16,1304856
"1215",11,9352985
"1216",20,7847236
"1217",29,2777776
"1218",23,5107786
"1219",18,6948906
"1220",12,8739616
"1221",13,1765865
"1222",18,7481585
"1223",21,3839696
"1224",24,3703856
"1225",1,2846836
"1226",16,9983296
"1227",21,3312756
"1228",21,8383396
"1229",16,6313107
"1230",29,9013686
"1231",29,3001836
"1232",11,8418616
"1233",21,2199996
"1234",25,3943056
"1235",9,9615386
"1236",29,1515816
"1237",4,4523606
"1238",22,8878586
"1239",23,6926966
"1240",20,4437666
"1241",20,9644256
"1242",11,3523256
"1243",13,2720385
"1244",30,4037886
"1245",3,2486636
"1246",9,2125186
"1247",21,5032396
"1248",16,8055176
"1249",9,2025186
"1250",25,8704716
"1251",25,3426166
"1252",20,6457185
"1253",13,2603076
"1254",29,9458266
"1255",7,9016136
"1256",7,7329307
"1257",23,2004985
"1258",25,1796966
"1259",3,5177865
"1260",4,9100295
"1261",23,3239207
"1262",25,7688636
"1263",24,1770785
"1264",16,6344536
"1265",3,1722026
"1266",19,914895
"1267",10,3984865
"1268",21,5798675
"1269",20,9063096
"1270",28,3536556
"1271",20,3757716
"1272",25,7276185
"1273",11,5418307
"1274",15,4271236
"1275",23,1629146
"1276",22,6809106
"1277",24,4330496
"1278",7,7815586
"1279",14,1895575
"1280",2,8330426
"1281",24,4024916
"1282",25,7997556
"1283",21,2698765
"1284",6,2166695
"1285",20,138816
"1286",4,103986
"1287",29,4328536
"1288",9,6844976
"1289",24,5153486
"1290",6,8869156
"1291",21,9015685
"1292",21,7245906
"1293",25,5077595
"1294",13,2108026
"1295",23,9847166
"1296",3,8083665
"1297",25,9520136
"1298",11,622186
"1299",20,3550456
"1300",13,2288376
"1301",22,563216
"1302",9,8768286
"1303",21,8246816
"1304",1,7795076
"1305",14,7998256
"1306",16,6297626
"1307",24,3545056
"1308",21,1398195
"1309",24,6645056
"1310",13,4641776
"1311",7,4771836
"1312",29,8527007
"1313",18,2798826
"1314",22,528686
"1315",25,4001526
"1316",12,5896476
"1317",25,9821756
"1318",8,5288075
"1319",23,7647696
"1320",25,7376485
"1321",29,6827307
"1322",11,3810486
"1323",18,417646
"1324",1,9215526
"1325",1,5462966
"1326",7,2936207
"1327",23,8931865
"1328",9,9696086
"1329",29,8699686
"1330",21,8340526
"1331",29,7117546
"1332",20,1028156
"1333",19,7372146
"1334",11,1695756
"1335",22,6688106
"1336",6,9025626
"1337",12,3531646
"1338",22,7228846
"1339",4,3505266
"1340",20,3153336
"1341",1,9182056
"1342",29,7855307
"1343",21,2232876
"1344",20,5547196
"1345",1,1457936
"1346",13,7296076
"1347",29,2838495
"1348",11,2596295
"1349",25,2368796
"1350",2,7165665
"1351",26,6501175
"1352",12,3964706
"1353",10,3298146
"1354",17,2428685
"1355",11,6002916
"1356",25,5247646
"1357",13,6987276
"1358",4,4739736
"1359",18,9104595
"1360",7,5251976
"1361",22,3443556
"1362",28,7704726
"1363",12,7763766
"1364",1,4789616
"1365",20,8829866
"1366",13,4275865
"1367",11,6833596
"1368",27,32696
"1369",16,4790926
"1370",15,8274726
"1371",7,843776
"1372",4,5150296
"1373",25,9845765
"1374",20,2688786
"1375",4,2067207
"1376",26,2205426
"1377",13,731776
"1378",25,8119126
"1379",29,1296965
"1380",7,6278006
"1381",29,5955736
"1382",21,4508576
"1383",25,2476856
"1384",7,1969285
"1385",16,5407816
"1386",19,411526
"1387",20,2711616
"1388",1,4818965
"1389",25,7096456
"1390",24,5060856
"1391",24,9867585
"1392",2,6230496
"1393",29,1473186
"1394",11,215846
"1395",13,3022275
"1396",13,264676
"1397",6,1312195
"1398",3,9623007
"1399",13,7678076
"1400",12,3655106
"1401",3,669556
"1402",20,2776196
"1403",7,7620956
"1404",23,7174956
"1405",28,5333236
"1406",1,8661965
"1407",4,3533895
"1408",6,6361336
"1409",23,4922685
"1410",23,4270346
"1411",1,442206
"1412",29,9677075
"1413",13,9324485
"1414",14,652686
"1415",7,7157206
"1416",11,2227075
"1417",25,285495
"1418",16,1215995
"1419",9,1612196
"1420",23,9499776
"1421",26,3036275
"1422",22,8168586
"1423",14,1588385
"1424",1,9518656
"1425",1,9123175
"1426",30,2237886
"1427",26,2353776
"1428",20,2147436
"1429",16,5658706
"1430",24,4900356
"1431",29,2510695
"1432",3,3257307
"1433",21,2741286
"1434",29,5478396
"1435",25,1752585
"1436",29,5372536
"1437",16,1009685
"1438",22,1513216
"1439",26,3130776
"1440",10,7963765
"1441",21,7721726
"1442",7,7845616
"1443",11,6731875
"1444",7,9119866
"1445",3,988485
"1446",16,2186965
"1447",12,2368536
"1448",23,4810865
"1449",25,8486775
"1450",12,9144426
"1451",8,4915436
"1452",18,6960756
"1453",1,73456
"1454",4,123495
"1455",20,2343016
"1456",2,6562795
"1457",20,2455485
"1458",20,3564475
"1459",25,9154536
"1460",28,9339306
"1461",20,9314996
"1462",25,6630865
"1463",1,7282865
"1464",29,27175
"1465",19,8317616
"1466",14,2392416
"1467",9,9456086
"1468",24,3126916
"1469",11,1388295
"1470",11,577075
"1471",22,9992385
"1472",3,2027096
"1473",29,5839806
"1474",16,1138675
"1475",9,8409286
"1476",14,9259256
"1477",8,8755316
"1478",23,6920406
"1479",20,704726
"1480",29,7874406
"1481",4,8037106
"1482",7,6836416
"1483",13,2849376
"1484",15,3377795
"1485",4,7830186
"1486",23,9696395
"1487",18,9958416
"1488",25,8725007
"1489",14,587686
"1490",2,2494536
"1491",13,5377616
"1492",14,5832686
"1493",11,1849095
"1494",21,4031495
"1495",29,1212736
"1496",3,3106216
"1497",21,4606385
"1498",25,4214306
"1499",25,7029556
"1500",11,784496
"1501",1,6457326
"1502",23,5889066
"1503",25,7912775
"1504",16,2337995
"1505",11,9585306
"1506",4,7389926
"1507",3,2930426
"1508",13,7459556
"1509",16,1206476
"1510",3,1578275
